time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
6.359436,2.7742,-2.5465,-2.0485,4.287
6.365524,3.2787,6.7440,-12.0918,14.228
6.378914,-4.2653,-1.1290,6.0682,7.503
6.387796,-2.3142,0.4437,6.7663,7.165
6.398785,0.3673,0.6055,6.4121,6.451
6.405594,0.4896,0.2120,4.8873,4.916
6.420476,4.4256,13.5225,-16.5741,21.844
6.425866,-5.0685,0.7981,5.0353,7.189
6.438795,1.0770,0.0685,2.1912,2.442
6.445673,1.7156,-0.4484,0.1732,1.782
6.458718,-4.3478,0.4025,3.3424,5.499
6.465618,1.4028,-0.1114,2.3299,2.722
6.479183,1.1987,-0.1392,4.6418,4.796
6.485859,-1.9827,-0.3466,3.7579,4.263
6.498904,-0.2542,0.6473,2.5903,2.682
6.505835,0.0710,0.2118,-0.2938,0.369
6.520039,0.3240,0.2518,-1.6635,1.713
6.525811,0.1870,0.1218,-1.2560,1.276
6.539535,0.4705,0.0753,0.0410,0.478
6.545638,0.2166,0.1179,0.6442,0.690
6.559169,0.1842,0.2569,-0.8614,0.918
6.566026,0.0269,0.3043,-0.3187,0.441
6.578812,0.2417,0.1410,-1.4665,1.493
6.586222,-0.1871,0.2299,-0.0506,0.301
6.599176,-0.3368,-0.1618,-2.1453,2.178
6.605729,0.4124,0.0411,-3.7311,3.754
6.621505,-0.7750,-0.2445,2.7787,2.895
6.625516,-1.0507,-0.3966,1.8032,2.124
6.638842,-0.3844,-0.0260,0.7022,0.801
6.645683,-0.3704,-0.2051,-0.1894,0.464
6.659200,-0.4528,-0.1480,0.6476,0.804
6.665618,-0.1533,0.0917,0.4040,0.442
6.679052,-0.3189,-0.0551,-0.5961,0.678
6.687053,-0.2693,-0.0744,-0.2176,0.354
6.698797,-0.0648,-0.1007,-0.8354,0.844
6.705965,0.0107,0.0296,-0.7177,0.718
6.721066,-0.3811,-0.0995,-0.0907,0.404
6.725676,-0.3451,-0.1372,0.4443,0.579
6.738526,0.0975,0.3215,0.9538,1.011
6.745742,0.0002,-0.0676,-0.6179,0.622
6.758928,0.0055,-0.0647,-0.6159,0.619
6.765653,-0.3153,0.0350,-0.6528,0.726
6.779595,0.1793,0.1564,-0.2778,0.366
6.786700,-0.0550,0.1709,-0.2046,0.272
6.799187,-0.1182,0.1321,-0.1038,0.205
6.805507,-0.1047,0.0710,-0.2590,0.288
6.819255,-0.1658,0.0671,-0.1125,0.211
6.825628,-0.1370,0.1250,-0.1030,0.212
6.839769,0.0015,0.0737,-0.1552,0.172
6.846954,0.0512,0.1647,-0.0439,0.178
6.858878,0.0226,0.2629,-0.1013,0.283
6.866049,0.0250,0.2845,-0.1276,0.313
6.878803,0.0595,0.2777,-0.0673,0.292
6.885929,0.1033,0.2780,-0.0670,0.304
6.899941,0.1611,0.2972,-0.0477,0.341
6.906364,0.0943,0.2830,-0.0309,0.300
6.919550,-0.0175,0.4898,-0.0643,0.494
6.925526,0.0595,0.5191,-0.0762,0.528
6.939963,0.3014,0.6002,-0.0545,0.674
6.945661,0.3449,0.6956,-0.0374,0.777
6.959143,0.3986,0.6020,-0.0394,0.723
6.966016,0.3605,0.5900,-0.0427,0.693
6.978936,0.2915,0.5400,-0.0303,0.614
6.985391,0.1836,0.4746,-0.0375,0.510
6.999199,0.0766,0.3392,-0.0446,0.351
7.006078,0.1182,0.2795,-0.0058,0.304
7.019828,0.2258,0.3912,-0.0368,0.453
7.026004,0.2494,0.3503,-0.0080,0.430
7.039533,0.2314,0.3732,-0.0256,0.440
7.045013,0.2084,0.3224,-0.0242,0.385
7.058409,0.1326,0.2395,-0.0279,0.275
7.065031,0.0486,0.1661,-0.0508,0.180
7.078362,0.0818,0.1699,-0.0326,0.191
7.084637,0.0947,0.2093,-0.0336,0.232
7.097958,0.1635,0.1634,-0.0153,0.232
7.103978,0.1481,0.1764,-0.0143,0.231
7.117141,0.1157,0.1592,0.0006,0.197
7.124210,0.0884,0.1240,-0.0253,0.154
7.137367,-0.0031,0.0731,-0.0274,0.078
7.143693,0.0104,0.0793,-0.0316,0.086
7.156760,0.0467,0.0892,-0.0259,0.104
7.164013,0.0764,0.0974,-0.0201,0.125
7.176641,0.1013,0.0988,-0.0146,0.142
7.183854,0.0754,0.0766,-0.0141,0.108
7.197599,0.0351,0.0525,-0.0306,0.070
7.203623,0.0073,0.0294,-0.0208,0.037
7.217298,0.0021,0.0239,-0.0156,0.029
7.224289,0.0192,0.0362,-0.0438,0.060
7.237512,0.0462,0.0632,-0.0025,0.078
7.243646,0.0563,0.0639,-0.0188,0.087
7.257638,-0.6809,-0.0912,0.1156,0.697
7.263618,-0.1624,0.3449,0.7805,0.869
7.276862,-0.1549,0.0380,0.1974,0.254
7.283796,0.0240,-0.1039,-0.0446,0.116
7.297969,0.0282,-0.1034,-0.0427,0.115
7.304275,0.4437,0.0383,-0.0026,0.445
7.317615,0.1706,0.3053,-0.1135,0.368
7.325862,0.2457,0.4123,0.0985,0.490
