time;gFx;gFy;gFz;TgF
0,240000;-0,2915;0,3457;0,9196;1,025
0,242000;-0,2905;0,3469;0,9186;1,024
0,244000;-0,2880;0,3477;0,9150;1,020
0,246000;-0,2854;0,3474;0,9115;1,016
0,248000;-0,2841;0,3469;0,9088;1,013
0,251000;-0,2829;0,3464;0,9042;1,009
0,252000;-0,2810;0,3486;0,9008;1,006
0,254000;-0,2790;0,3496;0,8986;1,004
0,256000;-0,2763;0,3494;0,8942;0,999
0,258000;-0,2722;0,3477;0,8891;0,993
0,260000;-0,2700;0,3481;0,8881;0,991
0,262000;-0,2692;0,3486;0,8834;0,987
0,264000;-0,2680;0,3489;0,8788;0,983
0,268000;-0,2665;0,3486;0,8771;0,981
0,268000;-0,2643;0,3489;0,8739;0,977
0,270000;-0,2643;0,3479;0,8700;0,974
0,272000;-0,2646;0,3469;0,8680;0,972
0,274000;-0,2661;0,3452;0,8654;0,969
0,276000;-0,2665;0,3452;0,8636;0,968
0,278000;-0,2663;0,3447;0,8636;0,967
0,280000;-0,2661;0,3440;0,8615;0,965
0,283000;-0,2670;0,3428;0,8588;0,962
0,284000;-0,2670;0,3430;0,8583;0,962
0,286000;-0,2680;0,3435;0,8595;0,964
0,288000;-0,2675;0,3433;0,8600;0,964
0,290000;-0,2678;0,3433;0,8597;0,964
0,292000;-0,2709;0,3433;0,8602;0,965
0,294000;-0,2719;0,3430;0,8602;0,965
0,296000;-0,2722;0,3447;0,8607;0,966
0,300000;-0,2756;0,3425;0,8661;0,971
0,300000;-0,2758;0,3430;0,8695;0,975
0,302000;-0,2768;0,3420;0,8724;0,977
0,304000;-0,2795;0,3403;0,8771;0,981
0,306000;-0,2814;0,3406;0,8805;0,985
0,308000;-0,2824;0,3420;0,8834;0,989
0,310000;-0,2858;0,3411;0,8895;0,995
0,312000;-0,2858;0,3418;0,8937;0,999
0,314000;-0,2856;0,3416;0,8969;1,001
0,317000;-0,2873;0,3411;0,9018;1,006
0,319000;-0,2868;0,3398;0,9057;1,009
0,320000;-0,2861;0,3394;0,9071;1,010
0,322000;-0,2863;0,3386;0,9098;1,012
0,324000;-0,2878;0,3376;0,9113;1,014
0,326000;-0,2871;0,3364;0,9110;1,013
0,328000;-0,2871;0,3354;0,9106;1,012
0,330000;-0,2878;0,3328;0,9103;1,011
0,332000;-0,2885;0,3320;0,9096;1,010
0,335000;-0,2876;0,3301;0,9081;1,008
0,336000;-0,2876;0,3293;0,9062;1,006
